lemma	homonym	doc
Hassu	PROPN	overlaps more common *Hassu* (funny)
Hatara	PROPN	overlaps more common *Hatara* (fragile)
Hattara	PROPN	overlaps more common *Hattara* (cloud)
Hattu	PROPN	overlaps more common *Hattu* (hat)
Hauenkoukku	PROPN	overlaps more common *Hauenkoukku* (pirch hook)
Hauki	PROPN	overlaps more common *Hauki* (pirch)
Haukka	PROPN	overlaps more common *Haukka* (hawk)
Haukku	PROPN	overlaps more common *Haukku* (bite)
Hauska	PROPN	overlaps very common *hauska* “funny”.
Hauta	PROPN	overlaps more common *Hauta* (tomb)
Hautakumpu	PROPN	overlaps more common *Hautakumpu* (tombhill)
Hautausmaa	PROPN	overlaps more common *Hautausmaa* (graveyard)
Hauva	PROPN	overlaps more common *Hauva* (dog)
Haveri	PROPN	overlaps more common *Haveri* (accident)
Havu	PROPN	overlaps more common *Havu* (pine)
He	PROPN	overlaps very common pronoun *he* “they”.
Hede	PROPN	overlaps more common *Hede* (petal)
Hedelmätarha	PROPN	overlaps more common *Hedelmätarha* (FIXME)
Heila	PROPN	overlaps more common *Heila* (date)
Heiluva	PROPN	overlaps more common *Heiluva* (swinging)
Heinikko	PROPN	overlaps more common *Heinikko* (grass)
Heinä	PROPN	overlaps more common *Heinä* (grass blade)
Heinäaro	PROPN	overlaps more common *Heinäaro* (grasslands)
Heinähäkki	PROPN	overlaps more common *Heinähäkki* (grass cage)
Heinäinen	PROPN	overlaps more common *Heinäinen* (grassy)
Heinäkenkä	PROPN	overlaps more common *Heinäkenkä* (grass shoe)
Heinämaa	PROPN	overlaps more common *Heinämaa* (grass land)
Heinämies	PROPN	overlaps more common *Heinämies* (grassman)
Heinäniitty	PROPN	overlaps more common *Heinäniitty* (grass green)
Heinäpelto	PROPN	overlaps more common *Heinäpelto* (grass field)
Heittiö	PROPN	overlaps more common *Heittiö* (outcast)
Heitto	PROPN	overlaps more common *Heitto* (throw)
Hekuma	PROPN	overlaps more common *Hekuma* (lust)
Hela	PROPN	overlaps more common *Hela* (FIXME)
Helinä	PROPN	overlaps more common *Helinä* (cling)
Hella	PROPN	overlaps more common *Hella* (stove)
Helle	PROPN	overlaps more common *Helle* (heat)
Hellä	PROPN	overlaps more common *Hellä* (tender)
Helmi	PROPN	overlaps more common *Helmi* (pearl)
Helminauha	PROPN	overlaps more common *Helminauha* (pearls)
Helsinki	PROPN	PROPN_HÄMMINKI	Helsinki, capital of Finland, a high frequency proper noun
Helvetti	PROPN	overlaps more common *Helvetti* (hell)
Hely	PROPN	overlaps more common *Hely* (tchatchke)
Hemmo	PROPN	overlaps more common *Hemmo* (guy)
Hemppo	PROPN	overlaps more common *Hemppo* (FIXME)
Hento	PROPN	overlaps more common *Hento* (fragile)
Hepo	PROPN	overlaps more common *Hepo* (horse)
Herastuomari	PROPN	overlaps more common *Herastuomari* (FIXME)
Herkkä	PROPN	overlaps more common *Herkkä* (fragile)
Hermo	PROPN	overlaps more common *Hermo* (nerve)
Herne	PROPN	overlaps more common *Herne* (pea)
Herra	PROPN	overlaps more common *Herra* (mister)
Herttaässä	PROPN	overlaps more common *Herttaässä* (ace of hearts)
Herttua	PROPN	overlaps more common *Herttua* (count)
Herukka	PROPN	overlaps more common *Herukka* (berry)
Hete	PROPN	overlaps more common *Hete* (FIXME)
Hevosenkenkä	PROPN	overlaps more common *Hevosenkenkä* (horseshoe)
Hevosurheilu	PROPN	overlaps more common *Hevosurheilu* (horsesports)
Hiekka	PROPN	overlaps more common *Hiekka* (sand)
Hiekkaharju	PROPN	overlaps more common *Hiekkaharju* (sand hill)
Hiekkamaa	PROPN	overlaps more common *Hiekkamaa* (sand lands)
Hiekkanummi	PROPN	overlaps more common *Hiekkanummi* (sands)
Hiekkapohja	PROPN	overlaps more common *Hiekkapohja* (FIXME)
Hiekkaranta	PROPN	overlaps more common *Hiekkaranta* (sandbeach)
Hiekkasärkkä	PROPN	overlaps more common *Hiekkasärkkä* (FIXME)
Hiekkatörmä	PROPN	overlaps more common *Hiekkatörmä* (FIXME)
Hieno	PROPN	overlaps more common *Hieno* (fine)
Hietamaa	PROPN	overlaps more common *Hietamaa* (FIXME)
Hietikko	PROPN	overlaps more common *Hietikko* (sands)
HIFK	PROPN	Helsingfors International Football Klubben
Hihna	PROPN	overlaps more common *Hihna* (tape)
Hiidenkirnu	PROPN	overlaps more common *Hiidenkirnu* (FIXME)
Hiidenkivi	PROPN	overlaps more common *Hiidenkivi* (FIXME)
Hiihtari	PROPN	overlaps more common *Hiihtari* (FIXME)
Hiihtomaja	PROPN	overlaps more common *Hiihtomaja* (skihut)
Hiili	PROPN	overlaps more common *Hiili* (coal)
Hiilistö	PROPN	overlaps more common *Hiilistö* (FIXME)
Hiillos	PROPN	overlaps more common *Hiillos* (embers)
Hiippa	PROPN	overlaps more common *Hiippa* (pope’s hat)
Hiippakunta	PROPN	overlaps more common *Hiippakunta* (papal)
Hiirakko	PROPN	overlaps more common *Hiirakko* (FIXME)
Hiirenhäntä	PROPN	overlaps more common *Hiirenhäntä* (rat’s tail)
Hiiri	PROPN	overlaps more common *Hiiri* (mouse)
Hiiva	PROPN	overlaps more common *Hiiva* (yeast)
Hikka	PROPN	overlaps more common *Hikka* (hiccouhg)
Hila	PROPN	overlaps more common *Hila* (FIXME)
Hilkka	PROPN	overlaps more common *Hilkka* (FIXME)
Hilla	PROPN	overlaps more common *Hilla* (cloudberry)
Hilleri	PROPN	overlaps more common *Hilleri* (animal)
Hillo	PROPN	overlaps more common *Hillo* (jam)
Himmeli	PROPN	overlaps more common *Himmeli* (FIXME)
Himo	PROPN	overlaps more common *Himo* (lust)
Hinkki	PROPN	overlaps more common *Hinkki* (FIXME)
Hinkuttaja	PROPN	overlaps more common *Hinkuttaja* (wanker)
Hippa	PROPN	overlaps more common *Hippa* (it)
Hippi	PROPN	overlaps more common *Hippi* (hippie)
Hippula	PROPN	overlaps more common *Hippula* (FIXME)
Hiprakka	PROPN	overlaps more common *Hiprakka* (drunk)
Hirmu	PROPN	overlaps more common *Hirmu* (really)
Hirmuinen	PROPN	overlaps more common *Hirmuinen* (scary)
Hirvas	PROPN	overlaps more common *Hirvas* (moose)
Hirvenpää	PROPN	overlaps more common *Hirvenpää* (moose head)
Hirvi	PROPN	overlaps more common *Hirvi* (moose)
Hirvikanta	PROPN	overlaps more common *Hirvikanta* (FIXME)
Hirvivaara	PROPN	overlaps more common *Hirvivaara* (moose hill)
Hirviö	PROPN	overlaps more common *Hirviö* (monster)
Hissa	PROPN	overlaps more common *Hissa* (history)
Hissi	PROPN	overlaps more common *Hissi* (lift)
Hiukka	PROPN	overlaps more common *Hiukka* (little)
Hiukkanen	PROPN	overlaps more common *Hiukkanen* (bit)
HJK	PROPN	Helsingin Jalkapallo-Klubi
HKL	PROPN	Helsingin Kaupungin Liikenne
Hohka	PROPN	overlaps more common *Hohka* (FIXME)
Hoikka	PROPN	overlaps more common *Hoikka* (thin)
Hoitola	PROPN	overlaps more common *Hoitola* (FIXME)
Holvisto	PROPN	overlaps more common *Holvisto* (FIXME)
Home	PROPN	overlaps more common *Home* (mould)
Homma	PROPN	overlaps more common *Homma* (thing)
Homo	PROPN	overlaps more common *Homo* (gay)
Hongikko	PROPN	overlaps more common *Hongikko* (FIXME)
Honka	PROPN	overlaps more common *Honka* (pine tree)
Honkainen	PROPN	overlaps more common *Honkainen* (FIXME)
Hopeakanta	PROPN	overlaps more common *Hopeakanta* (silverbase)
Hopeaselkä	PROPN	overlaps more common *Hopeaselkä* (silverback)
Hopeasilmä	PROPN	overlaps more common *Hopeasilmä* (silver eye)
Hoppa	PROPN	overlaps more common *Hoppa* (FIXME)
Hoppu	PROPN	overlaps more common *Hoppu* (rush)
Horna	PROPN	overlaps more common *Horna* (hell)
Horsma	PROPN	overlaps more common *Horsma* (flower)
Hotelli	PROPN	overlaps more common *Hotelli* (hotel)
Houkka	PROPN	overlaps more common *Houkka* (fool)
Hourula	PROPN	overlaps more common *Hourula* (madhouse)
Housunpuntti	PROPN	overlaps more common *Housunpuntti* (pant)
Housut	PROPN	overlaps more common *Housut* (pants)
Hovi	PROPN	overlaps more common *Hovi* (court)
HS	PROPN	Helsingin Sanomat
HTML	PROPN	Hyper-Text Markup Language
HTTP	PROPN	Hyper-Text Transfer Protocol
Huhmar	PROPN	overlaps more common *Huhmar* (FIXME)
Huhmare	PROPN	overlaps more common *Huhmare* (FIXME)
Hui	PROPN	overlaps more common *Hui* (eek)
Huijari	PROPN	overlaps more common *Huijari* (fake)
Huikka	PROPN	overlaps more common *Huikka* (sip)
Huilu	PROPN	overlaps more common *Huilu* (recorder)
Huima	PROPN	overlaps more common *Huima* (mad)
Huippu	PROPN	overlaps more common *Huippu* (top)
Huiska	PROPN	overlaps more common *Huiska* (FIXME)
Huisku	PROPN	overlaps more common *Huisku* (FIXME)
Huitukka	PROPN	overlaps more common *Huitukka* (FIXME)
Hujakka	PROPN	overlaps more common *Hujakka* (FIXME)
Hukka	PROPN	overlaps more common *Hukka* (wolf)
Hukki	PROPN	overlaps more common *Hukki* (FIXME)
Hula	PROPN	overlaps more common *Hula* (FIXME)
Humala	PROPN	overlaps more common *Humala* (hop)
Humalainen	PROPN	overlaps more common *Humalainen* (drunk)
Humalisto	PROPN	overlaps more common *Humalisto* (FIXME)
Humina	PROPN	overlaps more common *Humina* (hum)
Humiseva	PROPN	overlaps more common *Humiseva* (humming)
Humma	PROPN	overlaps more common *Humma* (horse)
Hummeri	PROPN	overlaps more common *Hummeri* (lobster)
Huntti	PROPN	overlaps more common *Huntti* (hundred)
Huoku	PROPN	overlaps more common *Huoku* (FIXME)
Huoli	PROPN	overlaps more common *Huoli* (concern)
Huomenlahja	PROPN	overlaps more common *Huomenlahja* (FIXME)
Huopainen	PROPN	overlaps more common *Huopainen* (FIXME)
Hupa	PROPN	overlaps more common *Hupa* (fun)
Hupeneva	PROPN	overlaps more common *Hupeneva* (FIXME)
Hurja	PROPN	overlaps more common *Hurja* (crazy)
Hurma	PROPN	overlaps more common *Hurma* (FIXME)
Hurme	PROPN	overlaps more common *Hurme* (FIXME)
Hurri	PROPN	overlaps more common *Hurri* (Swede)
Hurtta	PROPN	overlaps more common *Hurtta* (mutt)
Hurtti	PROPN	overlaps more common *Hurtti* (raunchy)
Huti	PROPN	overlaps more common *Huti* (miss)
Huttu	PROPN	overlaps more common *Huttu* (porridge)
Huuhkaja	PROPN	overlaps more common *Huuhkaja* (owl)
Huurre	PROPN	overlaps more common *Huurre* (frost)
Huussi	PROPN	overlaps more common *Huussi* (outhouse)
Huutaja	PROPN	overlaps more common *Huutaja* (yeller)
Huuti	PROPN	overlaps more common *Huuti* (FIXME)
Huutolainen	PROPN	overlaps more common *Huutolainen* (FIXME)
Huvi	PROPN	overlaps more common *Huvi* (fun)
Huvila	PROPN	overlaps more common *Huvila* (mansion)
Hybridi	PROPN	overlaps more common *Hybridi* (hybrid)
Hyeena	PROPN	overlaps more common *Hyeena* (hyena)
Hylly	PROPN	overlaps more common *Hylly* (shelf)
Hymiö	PROPN	overlaps more common *Hymiö* (smiley)
Hymy	PROPN	overlaps more common *Hymy* (smile)
Hyppynen	PROPN	overlaps more common *Hyppynen* (FIXME)
Hyppyrimäki	PROPN	overlaps more common *Hyppyrimäki* (FIXME)
Hyrrä	PROPN	overlaps more common *Hyrrä* (spintop)
Hyrsky	PROPN	overlaps more common *Hyrsky* (FIXME)
Hytti	PROPN	overlaps more common *Hytti* (cabin)
Hytykkä	PROPN	overlaps more common *Hytykkä* (FIXME)
Hyväkasvuinen	PROPN	overlaps more common *Hyväkasvuinen* (well grown)
Hyvänen	PROPN	overlaps more common *Hyvänen* (dear)
Hyypiö	PROPN	overlaps more common *Hyypiö* (creep)
Hyöty	PROPN	overlaps more common *Hyöty* (benefit)
Häikkä	PROPN	overlaps more common *Häikkä* (problem)
Häivä	PROPN	overlaps more common *Häivä* (touch)
Häkki	PROPN	overlaps more common *Häkki* (cage)
Hämy	PROPN	overlaps more common *Hämy* (FIXME)
Hämähäkki	PROPN	overlaps more common *Hämähäkki* (spider)
Hämärä	PROPN	overlaps more common *Hämärä* (dusk)
Hännänpää	PROPN	overlaps more common *Hännänpää* (tailend)
Hännätön	PROPN	overlaps more common *Hännätön* (taillless)
Häntyri	PROPN	overlaps more common *Häntyri* (FIXME)
Häntä	PROPN	overlaps more common *Häntä* (tail)
Häntäpää	PROPN	overlaps more common *Häntäpää* (tailend)
Härkä	PROPN	overlaps more common *Härkä* (bull)
Härkänen	PROPN	overlaps more common *Härkänen* (bull)
Härkäpää	PROPN	overlaps more common *Härkäpää* (bullhead)
Häränhäntä	PROPN	overlaps more common *Häränhäntä* (oxtail)
Häränsilmä	PROPN	overlaps more common *Häränsilmä* (bull’s eye)
Hätähuuto	PROPN	overlaps more common *Hätähuuto* (sos call)
Hätävara	PROPN	overlaps more common *Hätävara* (emergency stuff)
Hävittää	PROPN	overlaps more common *Hävittää* (lose)
Häviö	PROPN	overlaps more common *Häviö* (loss)
Häävi	PROPN	overlaps more common *Häävi* (FIXME)
Hölkkä	PROPN	overlaps more common *Hölkkä* (jog)
Höllä	PROPN	overlaps more common *Höllä* (FIXME)
Hölö	PROPN	overlaps more common *Hölö* (blab)
Hönö	PROPN	overlaps more common *Hönö* (goof)
Höpelö	PROPN	overlaps more common *Höpelö* (silly)
Höperö	PROPN	overlaps more common *Höperö* (silly)
Hörhö	PROPN	overlaps more common *Hörhö* (freak)
Höyhen	PROPN	overlaps more common *Höyhen* (feather)
Höyheninen	PROPN	overlaps more common *Höyheninen* (FIXME)
Höyhensaaret	PROPN	overlaps more common *Höyhensaaret* (asleep)
Höylä	PROPN	overlaps more common *Höylä* (level)
Höyry	PROPN	overlaps more common *Höyry* (steam)
IBM	PROPN	International Business Machines
Ihana	PROPN	overlaps very common *ihana* “lovely”.
Ihanainen	PROPN	overlaps more common *Ihanainen* (lovely)
Ihme	PROPN	overlaps more common *Ihme* (miracle)
Iho	PROPN	overlaps more common *Iho* (skin)
Illansuu	PROPN	overlaps more common *Illansuu* (evening)
Ilma	PROPN	overlaps more common *Ilma* (air)
Ilmainen	PROPN	overlaps more common *Ilmainen* (free)
ilman	PROPN	adposition (without) when can be attached to a partitive NP, otherwise adverb (without)
Ilmarata	PROPN	overlaps more common *Ilmarata* (airways)
Ilmasto	PROPN	overlaps more common *Ilmasto* (atmosphere)
Ilmavaara	PROPN	overlaps more common *Ilmavaara* (airhill)
Ilmavirta	PROPN	overlaps more common *Ilmavirta* (airstream)
Ilmetty	PROPN	overlaps more common *Ilmetty* (apparent)
Ilmi	PROPN	overlaps more common *Ilmi* (published)
Ilmiö	PROPN	overlaps more common *Ilmiö* (phenomenon)
Ilo	PROPN	overlaps more common *Ilo* (joy)
Ilta	PROPN	overlaps more common *Ilta* (evening)
Iltalehti	PROPN	overlaps more common *Iltalehti* (evening)
Iltanen	PROPN	overlaps more common *Iltanen* (dinner)
Iltarusko	PROPN	overlaps more common *Iltarusko* (dusk)
Ilves	PROPN	overlaps more common *Ilves* (bobcat)
Imago	PROPN	overlaps more common *Imago* (image)
Imelä	PROPN	overlaps more common *Imelä* (oversweet)
Impi	PROPN	overlaps more common *Impi* (virgin)
Info	PROPN	overlaps more common *Info* (info)
Inha	PROPN	overlaps more common *Inha* (icky)
Into	PROPN	overlaps more common *Into* (excote,emt)
Intra	PROPN	overlaps more common *Intra* (intra)
Intti	PROPN	overlaps more common *Intti* (army)
IP	PROPN	Internet Protocol
IRC	PROPN	Internet Relay Chat
ISBN	PROPN	International Serial Book Number
Isku	PROPN	overlaps more common *Isku* (hit)
Islam	PROPN	overlaps more common *Islam* (islam)
Isosilmä	PROPN	overlaps more common *Isosilmä* (big eye)
Istukka	PROPN	overlaps more common *Istukka* (placenta)
Isänmaa	PROPN	overlaps more common *Isänmaa* (fatherland)
Isännätön	PROPN	overlaps more common *Isännätön* (free)
Isäntä	PROPN	overlaps more common *Isäntä* (host)
IT	PROPN	Informaatio-Teknologia
Itara	PROPN	overlaps more common *Itara* (penny pincher)
Itikka	PROPN	overlaps more common *Itikka* (mosquito)
Itäinen	PROPN	overlaps more common *Itäinen* (eastern)
Itämaa	PROPN	overlaps more common *Itämaa* (near east lands)
Itäpuoli	PROPN	overlaps more common *Itäpuoli* (east side)
Itäranta	PROPN	overlaps more common *Itäranta* (east coast)
Itärinne	PROPN	overlaps more common *Itärinne* (east hill)
Iäinen	PROPN	overlaps more common *Iäinen* (eternal)
Jade	PROPN	overlaps more common *Jade* (jade)
Jakaja	PROPN	overlaps more common *Jakaja* (divider)
Jakku	PROPN	overlaps more common *Jakku* (jacket)
Jako	PROPN	overlaps more common *Jako* (split)
Jakolasku	PROPN	overlaps more common *Jakolasku* (division)
Jalas	PROPN	overlaps more common *Jalas* (shoe)
Jalava	PROPN	overlaps more common *Jalava* (FIXME)
Jalkamaa	PROPN	overlaps more common *Jalkamaa* (footland)
Jalkapuu	PROPN	overlaps more common *Jalkapuu* (FIXME)
Jalkasilta	PROPN	overlaps more common *Jalkasilta* (FIXM-e)
Jalo	PROPN	overlaps more common *Jalo* (noble)
Jama	PROPN	overlaps more common *Jama* (sticky wicket)
Jana	PROPN	overlaps more common *Jana* (segment)
Jano	PROPN	overlaps more common *Jano* (thirst)
Jatke	PROPN	overlaps more common *Jatke* (continuation)
Jatkettu	PROPN	overlaps more common *Jatkettu* (continued)
Jatko	PROPN	overlaps more common *Jatko* (continuation)
Jauhaja	PROPN	overlaps more common *Jauhaja* (grinder)
Jauho	PROPN	overlaps more common *Jauho* (flour)
Jee	PROPN	overlaps more common *Jee* (yay)
Jeesus	PROPN	overlaps more common *Jeesus* (jesus)
Jin	PROPN	overlaps more common *Jin* (FIXME)
Jo	PROPN	overlaps very common *jo* “already”.
Joenhaara	PROPN	overlaps more common *Joenhaara* (river branch)
Joenmutka	PROPN	overlaps more common *Joenmutka* (river shoulder)
Joenniska	PROPN	overlaps more common *Joenniska* (river neck)
Joenpolvi	PROPN	overlaps more common *Joenpolvi* (river knee)
Joenranta	PROPN	overlaps more common *Joenranta* (river coast)
Joensuu	PROPN	PROPN_PUU	finer|joukahainen|omorfi++
Joenvarsi	PROPN	overlaps more common *Joenvarsi* (riverside)
Johan	PROPN	overlaps forms of very common *jo* “already”.
Johde	PROPN	overlaps more common *Johde* (inducer)
johdolla	PROPN	adposition (lead by) when can be attached to a genitive NP, otherwise noun forms of *johto* (lead, cord)
Johto	PROPN	overlaps more common *Johto* (lead, cord)
Joki	PROPN	overlaps very common *joki* “river”.
Jokijärvi	PROPN	overlaps more common *Jokijärvi* (riverlake)
Jokilaakso	PROPN	overlaps more common *Jokilaakso* (rivervalley)
Jokiranta	PROPN	overlaps more common *Jokiranta* (rivershore)
Jokisuu	PROPN	overlaps more common *Jokisuu* (rivermouth)
Jokitasanko	PROPN	overlaps more common *Jokitasanko* (river plains)
Jokitörmä	PROPN	overlaps more common *Jokitörmä* (river bank)
Jokivarsi	PROPN	overlaps more common *Jokivarsi* (river side)
Jolla	PROPN	overlaps more common *Jolla* (dingy)
Jorpakko	PROPN	overlaps more common *Jorpakko* (pondlet)
Jouhi	PROPN	overlaps more common *Jouhi* (hair)
Jouhikko	PROPN	overlaps more common *Jouhikko* (FIXME)
Jousi	PROPN	overlaps more common *Jousi* (bow)
Jousimies	PROPN	overlaps more common *Jousimies* (archer)
Joutava	PROPN	overlaps more common *Joutava* (useless)
Joutsen	PROPN	overlaps more common *Joutsen* (swan)
Julma	PROPN	overlaps more common *Julma* (evel)
Jumalinen	PROPN	overlaps more common *Jumalinen* (godly)
Jumi	PROPN	overlaps more common *Jumi* (stuck)
jumissa	PROPN	usually seen as adverb (stuck), but can be analysed as an inessive of the noun *jumi* (bind)
Jumppa	PROPN	overlaps more common *Jumppa* (gymnastics)
Junkkari	PROPN	overlaps more common *Junkkari* (stud)
Junnu	PROPN	overlaps more common *Junnu* (junior)
Juntti	PROPN	overlaps more common *Juntti* (fool)
Juokseva	PROPN	overlaps more common *Juokseva* (running)
Juoksu	PROPN	overlaps more common *Juoksu* (run)
Juolukka	PROPN	overlaps more common *Juolukka* (berry)
Juominki	PROPN	overlaps more common *Juominki* (drinkings)
Juoni	PROPN	overlaps more common *Juoni* (plot)
Juonne	PROPN	overlaps more common *Juonne* (depression)
Juonto	PROPN	overlaps more common *Juonto* (introduction)
Juopa	PROPN	overlaps more common *Juopa* (drinker)
Juoru	PROPN	overlaps more common *Juoru* (rumour)
Juotava	PROPN	overlaps more common *Juotava* (drinkable)
Juote	PROPN	overlaps more common *Juote* (FIXME)
Juotin	PROPN	overlaps more common *Juotin* (FIXME)
Juottola	PROPN	overlaps more common *Juottola* (drinkery)
Juova	PROPN	overlaps more common *Juova* (drinkingy)
Jupakka	PROPN	overlaps more common *Jupakka* (quarrel)
Juppi	PROPN	overlaps more common *Juppi* (yuppie)
Jurri	PROPN	overlaps more common *Jurri* (drunk)
Justeeri	PROPN	overlaps more common *Justeeri* (saw)
